Difficulty,Views_Config
3.4,Colored
2.2,Colored
4.2,Colored
2.5,Colored
2.7,Colored
3.1,Colored
3.6,Colored
3.7,Colored
3.5,Colored
3.1,Colored
3,Colored
3.8,Colored
1.5,Colored
2.5,Colored
3.4,Colored
2.3,Colored
2.2,Colored
2.8,Colored
3.4,Colored
2.5,Colored
2.5,Colored
3.2,Colored
3,Colored
2.5,Colored
3.2,Colored
3.3,Colored
3,Colored
2.7,Colored
2.7,Colored
3,Colored
3.5,Colored
2.3,Colored
2.1,Colored
3.3,Colored
4.4,Colored
1.8,Colored
2.6,Colored
3.4,Colored
3.1,Colored
3.9,Colored
3.6,Colored
3.2,Colored
2.5,Colored
3.7,Colored
1.8,Colored
3.4,Colored
2.8,Colored
3.7,Colored
2.8,Colored
2.6,Colored
3.6,Colored
3.2,Colored
3,Colored
3.8,Colored
2.7,Colored
2.2,Colored
3.2,Colored
4,Colored
3,Colored
2.3,Colored
3.3,Colored
3.4,Colored
3.9,Colored
1.9,Colored
2,Bars
1.1,Bars
4.1,Bars
2.8,Bars
2.5,Bars
3.5,Bars
2.8,Bars
3.8,Bars
2.9,Bars
3,Bars
2.9,Bars
3.5,Bars
1.9,Bars
2.3,Bars
2.4,Bars
1.9,Bars
2.8,Bars
2.5,Bars
2.2,Bars
2.3,Bars
3.2,Bars
1.1,Bars
3,Bars
2.5,Bars
3,Bars
3.3,Bars
3,Bars
1.9,Bars
2.6,Bars
3,Bars
3.5,Bars
3.8,Bars
1.8,Bars
1.5,Bars
4.6,Bars
3.4,Bars
4.2,Bars
3.8,Bars
2.1,Bars
4,Bars
3.2,Bars
3.1,Bars
3.9,Bars
4.4,Bars
2.4,Bars
2.4,Bars
3.2,Bars
1.7,Bars
3.9,Bars
2.6,Bars
2.6,Bars
3.5,Bars
3.3,Bars
1.4,Bars
2.8,Bars
1.2,Bars
3.7,Bars
3.2,Bars
3,Bars
3.2,Bars
2.2,Bars
3.2,Bars
3.9,Bars
4.2,Bars
2.9,Colored-w-Bars
1,Colored-w-Bars
4.2,Colored-w-Bars
2.4,Colored-w-Bars
2.9,Colored-w-Bars
3.4,Colored-w-Bars
3.5,Colored-w-Bars
3.7,Colored-w-Bars
2.6,Colored-w-Bars
2.5,Colored-w-Bars
2.6,Colored-w-Bars
3.3,Colored-w-Bars
1.2,Colored-w-Bars
2.3,Colored-w-Bars
2.3,Colored-w-Bars
2,Colored-w-Bars
2.3,Colored-w-Bars
2.7,Colored-w-Bars
2.6,Colored-w-Bars
2.5,Colored-w-Bars
2.3,Colored-w-Bars
1,Colored-w-Bars
2.5,Colored-w-Bars
2,Colored-w-Bars
3.1,Colored-w-Bars
3.4,Colored-w-Bars
3,Colored-w-Bars
2.2,Colored-w-Bars
3.1,Colored-w-Bars
3,Colored-w-Bars
3.8,Colored-w-Bars
2.2,Colored-w-Bars
1.6,Colored-w-Bars
1,Colored-w-Bars
4.6,Colored-w-Bars
1.8,Colored-w-Bars
2.5,Colored-w-Bars
3.1,Colored-w-Bars
2,Colored-w-Bars
3.9,Colored-w-Bars
2.8,Colored-w-Bars
3.1,Colored-w-Bars
2.6,Colored-w-Bars
3.5,Colored-w-Bars
2.2,Colored-w-Bars
1.8,Colored-w-Bars
3,Colored-w-Bars
1.3,Colored-w-Bars
2.6,Colored-w-Bars
2.7,Colored-w-Bars
2.8,Colored-w-Bars
2.7,Colored-w-Bars
3.1,Colored-w-Bars
1.4,Colored-w-Bars
3.3,Colored-w-Bars
1.9,Colored-w-Bars
3.7,Colored-w-Bars
3.8,Colored-w-Bars
3,Colored-w-Bars
2.3,Colored-w-Bars
3.7,Colored-w-Bars
3,Colored-w-Bars
3.7,Colored-w-Bars
1.6,Colored-w-Bars
